ENG,ENG_FREQ,ENG_FREQ_USING_ANALYSER,UKR,UKR_FREQ,UKR_FREQ_USING_ANALYSER
A,8.16,8.09,А,8.07,8.2
B,1.5,1.48,Б,1.77,1.98
C,2.76,2.93,В,5.35,6.05
D,4.31,4.14,Г,1.55,1.78
E,12.51,12.68,Ґ,0.01,0.03
F,2.25,2.12,Д,3.38,3.34
G,2.02,1.87,Е,4.95,4.83
H,6.01,5.38,Є,0.61,0.36
I,7.16,6.97,Ж,0.93,0.92
J,0.13,0.12,З,2.32,2.37
K,0.73,0.71,И,6.26,6.65
L,3.99,4.21,І,5.75,5.61
M,2.51,2.64,Ї,0.65,0.54
N,6.83,6.95,Й,1.38,1.35
O,7.59,7.64,К,3.54,3.61
P,1.86,2.03,Л,3.69,3.94
Q,0.1,0.14,М,3.03,3.08
R,6.01,6.03,Н,6.81,6.01
S,6.29,6.46,О,9.42,9.64
T,9.1,9.19,П,2.9,3
U,2.84,2.83,Р,4.48,4.36
V,1.05,1,С,4.24,4.14
W,2.25,2.01,Т,5.34,4.8
X,0.16,0.32,У,3.36,3.56
Y,2.06,2.01,Ф,0.28,0.13
Z,0.07,0.08,Х,1.19,1.11
,,,Ц,0.83,0.76
,,,Ч,1.41,1.43
,,,Ш,0.76,0.96
,,,Щ,0.56,0.65
,,,Ь,1.77,1.6
,,,Ю,0.93,0.8
,,,Я,2.48,2.43
